"cim10","c_type","cma","lib_long","libelle","parent","type"
A162,0,2,"Tuberculose pulmonaire, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A163,0,2,"Tuberculose des ganglions intrathoraciques, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A164,0,2,"Tuberculose du larynx, de la trachée et des bronches, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A165,0,2,"Pleurésie tuberculeuse, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A167,0,2,"Primo-infection tuberculeuse de l appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A168,0,2,"Autres formes de tuberculose de l appareil respiratoire, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A169,0,2,"Tuberculose de l appareil respiratoire sans précision, (sans mention de confirmation bactériologique ou histologique)",,A16,Pas de restriction particulière (valeur par défaut).
A17,3,0,Tuberculose du système nerveux,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A170,0,3,Méningite tuberculeuse (G01*),,A17,Pas de restriction particulière (valeur par défaut).
A171,0,3,Tuberculome méningé (G07*),,A17,Pas de restriction particulière (valeur par défaut).
A178,0,3,Autres formes de tuberculose du système nerveux,,A17,Pas de restriction particulière (valeur par défaut).
A179,0,3,"Tuberculose du système nerveux, sans précision (G99.8*)",,A17,Pas de restriction particulière (valeur par défaut).
A18,3,0,Tuberculose d autres organes,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A180,0,3,Tuberculose des os et des articulations,,A18,Pas de restriction particulière (valeur par défaut).
A181,0,2,Tuberculose de l appareil génito-urinaire,,A18,Pas de restriction particulière (valeur par défaut).
A182,0,2,Adénopathie tuberculeuse périphérique,,A18,Pas de restriction particulière (valeur par défaut).
A183,0,3,"Tuberculose de l intestin, du péritoine et des ganglions mésentériques",,A18,Pas de restriction particulière (valeur par défaut).
A184,0,2,Tuberculose de la peau et du tissu cellulaire sous-cutané,,A18,Pas de restriction particulière (valeur par défaut).
A185,0,2,Tuberculose de l oeil,,A18,Pas de restriction particulière (valeur par défaut).
A186,0,2,Tuberculose de l oreille,,A18,Pas de restriction particulière (valeur par défaut).
A187,0,2,Tuberculose des surrénales (E35.1*),,A18,Pas de restriction particulière (valeur par défaut).
A188,0,2,Tuberculose d autres organes précisés,,A18,Pas de restriction particulière (valeur par défaut).
A19,3,0,Tuberculose miliaire,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A190,0,4,"Tuberculose miliaire aiguë, localisation unique et précisée",,A19,Pas de restriction particulière (valeur par défaut).
A191,0,4,"Tuberculose miliaire aiguë, sièges multiples",,A19,Pas de restriction particulière (valeur par défaut).
A192,0,4,"Tuberculose miliaire aiguë, sans précision",,A19,Pas de restriction particulière (valeur par défaut).
A198,0,4,Autres tuberculoses miliaires,,A19,Pas de restriction particulière (valeur par défaut).
A199,0,4,"Tuberculose miliaire, sans précision",,A19,Pas de restriction particulière (valeur par défaut).
A20,3,0,Peste,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A200,0,2,Peste bubonique,,A20,Pas de restriction particulière (valeur par défaut).
A201,0,2,Peste cutanée,,A20,Pas de restriction particulière (valeur par défaut).
A202,0,2,Peste pulmonaire,,A20,Pas de restriction particulière (valeur par défaut).
A203,0,2,Peste méningée,,A20,Pas de restriction particulière (valeur par défaut).
A207,0,2,Peste septicémique,,A20,Pas de restriction particulière (valeur par défaut).
A208,0,2,Autres formes de peste,,A20,Pas de restriction particulière (valeur par défaut).
A209,0,2,"Peste, sans précision",,A20,Pas de restriction particulière (valeur par défaut).
A21,3,0,Tularémie,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A210,0,2,Tularémie ulcéro-glandulaire,,A21,Pas de restriction particulière (valeur par défaut).
A211,0,2,Tularémie oculo-glandulaire,,A21,Pas de restriction particulière (valeur par défaut).
A212,0,2,Tularémie pulmonaire,,A21,Pas de restriction particulière (valeur par défaut).
A213,0,2,Tularémie gastro-intestinale,,A21,Pas de restriction particulière (valeur par défaut).
A217,0,2,Tularémie généralisée,,A21,Pas de restriction particulière (valeur par défaut).
A218,0,2,Autres formes de tularémie,,A21,Pas de restriction particulière (valeur par défaut).
A219,0,2,"Tularémie, sans précision",,A21,Pas de restriction particulière (valeur par défaut).
A22,3,0,Charbon,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A220,0,2,Charbon cutané,,A22,Pas de restriction particulière (valeur par défaut).
A221,0,2,Charbon pulmonaire,,A22,Pas de restriction particulière (valeur par défaut).
A222,0,2,Charbon gastro-intestinal,,A22,Pas de restriction particulière (valeur par défaut).
A227,0,2,Septicémie charbonneuse,,A22,Pas de restriction particulière (valeur par défaut).
A228,0,2,Autres formes de charbon,,A22,Pas de restriction particulière (valeur par défaut).
A229,0,2,"Charbon, sans précision",,A22,Pas de restriction particulière (valeur par défaut).
A23,3,0,Brucellose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A230,0,2,Brucellose à Brucella melitensis,,A23,Pas de restriction particulière (valeur par défaut).
A231,0,2,Brucellose à Brucella abortus,,A23,Pas de restriction particulière (valeur par défaut).
A232,0,2,Brucellose à Brucella suis,,A23,Pas de restriction particulière (valeur par défaut).
A233,0,2,Brucellose à Brucella canis,,A23,Pas de restriction particulière (valeur par défaut).
A238,0,2,Autres brucelloses,,A23,Pas de restriction particulière (valeur par défaut).
A239,0,2,"Brucellose, sans précision",,A23,Pas de restriction particulière (valeur par défaut).
A24,3,0,Morve et mélioïdose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A240,0,2,Morve,,A24,Pas de restriction particulière (valeur par défaut).
A241,0,2,Mélioïdose aiguë et galopante,,A24,Pas de restriction particulière (valeur par défaut).
A242,0,2,Mélioïdose subaiguë et chronique,,A24,Pas de restriction particulière (valeur par défaut).
A243,0,2,Autres mélioïdoses,,A24,Pas de restriction particulière (valeur par défaut).
A244,0,2,"Mélioïdose, sans précision",,A24,Pas de restriction particulière (valeur par défaut).
A25,3,0,Fièvres causées par morsure de rat,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A250,0,2,Spirillose,,A25,Pas de restriction particulière (valeur par défaut).
A251,0,2,Streptobacillose,,A25,Pas de restriction particulière (valeur par défaut).
A259,0,2,"Fièvre causée par morsure de rat, sans précision",,A25,Pas de restriction particulière (valeur par défaut).
A26,3,0,Érysipéloïde,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A260,0,2,Érysipéloïde cutanée,,A26,Pas de restriction particulière (valeur par défaut).
A267,0,3,Septicémie à Erysipelothrix,,A26,Pas de restriction particulière (valeur par défaut).
A268,0,2,Autres formes d érysipéloïde,,A26,Pas de restriction particulière (valeur par défaut).
A269,0,2,"Érysipéloïde, sans précision",,A26,Pas de restriction particulière (valeur par défaut).
A27,3,0,Leptospirose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A270,0,2,Leptospirose ictéro-hémorragique,,A27,Pas de restriction particulière (valeur par défaut).
A278,0,2,Autres formes de leptospirose,,A27,Pas de restriction particulière (valeur par défaut).
A279,0,2,"Leptospirose, sans précision",,A27,Pas de restriction particulière (valeur par défaut).
A28,3,0,"Autres anthropozoonoses bactériennes, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A280,0,2,Pasteurellose,,A28,Pas de restriction particulière (valeur par défaut).
A281,0,1,Maladie des griffes du chat,,A28,Pas de restriction particulière (valeur par défaut).
A282,0,1,Yersiniose extra-intestinale,,A28,Pas de restriction particulière (valeur par défaut).
A288,0,1,"Autres anthropozoonoses bactériennes précisées, non classées ailleurs",,A28,Pas de restriction particulière (valeur par défaut).
A289,1,1,"Anthropozoonose bactérienne, sans précision",,A28,Diagnostic interdit en DP et DR - Autorisé ailleurs
A30,3,0,Lèpre [maladie de Hansen],,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A300,0,2,Lèpre indéterminée,,A30,Pas de restriction particulière (valeur par défaut).
A301,0,2,Lèpre tuberculoïde,,A30,Pas de restriction particulière (valeur par défaut).
A302,0,2,Lèpre tuberculoïde de type intermédiaire atypique,,A30,Pas de restriction particulière (valeur par défaut).
A303,0,2,Lèpre de type intermédiaire atypique,,A30,Pas de restriction particulière (valeur par défaut).
A304,0,2,Lèpre lépromateuse de type intermédiaire atypique,,A30,Pas de restriction particulière (valeur par défaut).
A305,0,2,Lèpre lépromateuse,,A30,Pas de restriction particulière (valeur par défaut).
A308,0,2,Autres formes de lèpre,,A30,Pas de restriction particulière (valeur par défaut).
A309,0,2,"Lèpre, sans précision",,A30,Pas de restriction particulière (valeur par défaut).
A31,3,0,Infections dues à d autres mycobactéries,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A310,0,3,Infection pulmonaire à mycobactéries atypiques,,A31,Pas de restriction particulière (valeur par défaut).
A311,0,3,Infection cutanée à mycobacteries atypiques,,A31,Pas de restriction particulière (valeur par défaut).
A318,0,3,Autres infections à mycobacteries atypiques,,A31,Pas de restriction particulière (valeur par défaut).
A319,0,3,"Infection à mycobacteries atypiques, sans précision",,A31,Pas de restriction particulière (valeur par défaut).
A32,3,0,Listériose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A320,0,3,Listériose cutanée,,A32,Pas de restriction particulière (valeur par défaut).
A321,0,4,Méningite et méningo-encéphalite listériennes,,A32,Pas de restriction particulière (valeur par défaut).
A327,0,3,Septicémie listérienne,,A32,Pas de restriction particulière (valeur par défaut).
A328,0,3,Autres formes de listériose,,A32,Pas de restriction particulière (valeur par défaut).
A329,0,3,"Listériose, sans précision",,A32,Pas de restriction particulière (valeur par défaut).
A33,0,3,Tétanos néonatal,,,Pas de restriction particulière (valeur par défaut).
A34,0,3,Tétanos obstétrical,,,Pas de restriction particulière (valeur par défaut).
A35,0,3,Autres formes de tétanos,,,Pas de restriction particulière (valeur par défaut).
A36,3,0,Diphtérie,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A360,0,2,Diphtérie pharyngée,,A36,Pas de restriction particulière (valeur par défaut).
A361,0,2,Diphtérie rhinopharyngée,,A36,Pas de restriction particulière (valeur par défaut).
A362,0,2,Diphtérie laryngée,,A36,Pas de restriction particulière (valeur par défaut).
A363,0,2,Diphtérie cutanée,,A36,Pas de restriction particulière (valeur par défaut).
A368,0,2,Autres formes de diphtérie,,A36,Pas de restriction particulière (valeur par défaut).
A369,0,2,"Diphtérie, sans précision",,A36,Pas de restriction particulière (valeur par défaut).
A37,3,0,Coqueluche,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A370,0,2,Coqueluche à Bordetella pertussis,,A37,Pas de restriction particulière (valeur par défaut).
A371,0,2,Coqueluche à Bordetella parapertussis,,A37,Pas de restriction particulière (valeur par défaut).
A378,0,2,Coqueluche due à d autres espèces de Bordetella,,A37,Pas de restriction particulière (valeur par défaut).
A379,0,2,"Coqueluche, sans précision",,A37,Pas de restriction particulière (valeur par défaut).
A38,0,2,Scarlatine,,,Pas de restriction particulière (valeur par défaut).
A39,3,0,Infection à méningocoques,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A390,0,4,Méningite à méningocoques (G01*),,A39,Pas de restriction particulière (valeur par défaut).
A391,0,2,Syndrome de Waterhouse-Friderichsen (E35.1*),,A39,Pas de restriction particulière (valeur par défaut).
A392,0,3,Méningococcémie aiguë,,A39,Pas de restriction particulière (valeur par défaut).
A393,0,2,Méningococcémie chronique,,A39,Pas de restriction particulière (valeur par défaut).
A394,0,2,"Méningococcémie, sans précision",,A39,Pas de restriction particulière (valeur par défaut).
A395,0,2,Cardite à méningocoques,,A39,Pas de restriction particulière (valeur par défaut).
A398,0,2,Autres infections à méningocoques,,A39,Pas de restriction particulière (valeur par défaut).
A399,0,2,"Infection méningococcique, sans précision",,A39,Pas de restriction particulière (valeur par défaut).
A40,3,0,Septicémie à streptocoques,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A400,0,3,"Septicémie à streptocoques, groupe A",,A40,Pas de restriction particulière (valeur par défaut).
A401,0,3,"Septicémie à streptocoques, groupe B",,A40,Pas de restriction particulière (valeur par défaut).
A402,0,4,"Septicémie à streptocoques, groupe D",,A40,Pas de restriction particulière (valeur par défaut).
A403,0,3,Septicémie à Streptococcus pneumoniae,,A40,Pas de restriction particulière (valeur par défaut).
A408,0,3,Autres septicémies à streptocoques,,A40,Pas de restriction particulière (valeur par défaut).
A409,0,3,"Septicémie à streptocoques, sans précision",,A40,Pas de restriction particulière (valeur par défaut).
A41,3,0,Autres septicémies,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A410,0,4,Septicémie à staphylocoques dorés,,A41,Pas de restriction particulière (valeur par défaut).
A411,0,4,Septicémie à d autres staphylocoques précisés,,A41,Pas de restriction particulière (valeur par défaut).
A412,0,4,Septicémie à staphylocoques non précisés,,A41,Pas de restriction particulière (valeur par défaut).
A413,0,3,Septicémie à Haemophilus influenzae,,A41,Pas de restriction particulière (valeur par défaut).
A414,0,4,Septicémie à micro-organismes anaérobies,,A41,Pas de restriction particulière (valeur par défaut).
A415,0,4,Septicémie à d autres micro-organismes Gram négatif,,A41,Pas de restriction particulière (valeur par défaut).
A418,0,4,Autres septicémies précisées,,A41,Pas de restriction particulière (valeur par défaut).
A419,0,3,"Septicémie, sans précision",,A41,Pas de restriction particulière (valeur par défaut).
A42,3,0,Actinomycose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A420,0,2,Actinomycose pulmonaire,,A42,Pas de restriction particulière (valeur par défaut).
A421,0,2,Actinomycose abdominale,,A42,Pas de restriction particulière (valeur par défaut).
A422,0,2,Actinomycose cervico-faciale,,A42,Pas de restriction particulière (valeur par défaut).
A427,0,3,Septicémie actinomycosique,,A42,Pas de restriction particulière (valeur par défaut).
A428,0,2,Autres formes d actinomycose,,A42,Pas de restriction particulière (valeur par défaut).
A429,0,2,"Actinomycose, sans précision",,A42,Pas de restriction particulière (valeur par défaut).
A43,3,0,Nocardiose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A430,0,2,Nocardiose pulmonaire,,A43,Pas de restriction particulière (valeur par défaut).
A431,0,2,Nocardiose cutanée,,A43,Pas de restriction particulière (valeur par défaut).
A438,0,2,Autres formes de nocardiose,,A43,Pas de restriction particulière (valeur par défaut).
A439,0,2,"Nocardiose, sans précision",,A43,Pas de restriction particulière (valeur par défaut).
A44,3,0,Bartonellose,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A440,0,4,Bartonellose généralisée,,A44,Pas de restriction particulière (valeur par défaut).
A441,0,2,Bartonellose cutanée et cutanéo-muqueuse,,A44,Pas de restriction particulière (valeur par défaut).
A448,0,2,Autres formes de bartonellose,,A44,Pas de restriction particulière (valeur par défaut).
A449,0,2,"Bartonellose, sans précision",,A44,Pas de restriction particulière (valeur par défaut).
A46,0,3,Érysipèle,,,Pas de restriction particulière (valeur par défaut).
A48,3,0,"Autres maladies bactériennes, non classées ailleurs",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A480,0,4,Gangrène gazeuse,,A48,Pas de restriction particulière (valeur par défaut).
A481,0,3,Maladie des légionnaires (pulmonaire),,A48,Pas de restriction particulière (valeur par défaut).
A482,0,3,"Maladie des légionnaires, sans signes pulmonaires [fièvre de Pontiac]",,A48,Pas de restriction particulière (valeur par défaut).
A483,0,4,Syndrome du choc toxique,,A48,Pas de restriction particulière (valeur par défaut).
A484,0,2,Fièvre purpurique du Brésil,,A48,Pas de restriction particulière (valeur par défaut).
A488,0,2,Autres maladies bactériennes précisées,,A48,Pas de restriction particulière (valeur par défaut).
A49,3,0,"Infection bactérienne, siège non précisé",,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A490,1,1,"Infection à staphylocoques, sans précision",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A491,1,1,"Infection à streptocoques, sans précision",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A492,1,1,"Infection à Haemophilus influenzae, sans précision",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A493,1,1,"Infection à Mycoplasma, sans précision",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A498,1,1,"Autres infections bactériennes, siège non précisé",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A499,1,1,"Infection bactérienne, sans précision",,A49,Diagnostic interdit en DP et DR - Autorisé ailleurs
A50,3,0,Syphilis congénitale,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A500,0,2,"Syphilis congénitale précoce, symptomatique",,A50,Pas de restriction particulière (valeur par défaut).
A501,0,2,"Syphilis congénitale précoce, latente",,A50,Pas de restriction particulière (valeur par défaut).
A502,0,2,"Syphilis congénitale précoce, sans précision",,A50,Pas de restriction particulière (valeur par défaut).
A503,0,2,Oculopathie syphilitique congénitale tardive,,A50,Pas de restriction particulière (valeur par défaut).
A504,0,2,Syphilis congénitale nerveuse tardive [neuro-syphilis juvénile],,A50,Pas de restriction particulière (valeur par défaut).
A505,0,2,"Autres formes tardives de syphilis congénitale, symptomatique",,A50,Pas de restriction particulière (valeur par défaut).
A506,0,2,"Syphilis congénitale tardive, latente",,A50,Pas de restriction particulière (valeur par défaut).
A507,0,2,"Syphilis congénitale tardive, sans précision",,A50,Pas de restriction particulière (valeur par défaut).
A509,0,2,"Syphilis congénitale, sans précision",,A50,Pas de restriction particulière (valeur par défaut).
A51,3,0,Syphilis précoce,,,"Diagnostic interdit en DP, DR et DA - Catégories et sous-catégories non vides ou code père interdit"
A510,0,2,Syphilis génitale primaire,,A51,Pas de restriction particulière (valeur par défaut).
A511,0,2,Syphilis anale primaire,,A51,Pas de restriction particulière (valeur par défaut).
A512,0,2,Syphilis primaire d autres localisations,,A51,Pas de restriction particulière (valeur par défaut).
A513,0,2,Syphilis secondaire de la peau et des muqueuses,,A51,Pas de restriction particulière (valeur par défaut).
A514,0,2,Autres formes de syphilis secondaire,,A51,Pas de restriction particulière (valeur par défaut).
